Word,CNC_M
football,6.31
musket,6.31
bungalow,6.303
carriage,6.303
fist,6.303
gazelle,6.303
mole,6.303
pint,6.303
restaurant,6.303
lawn,6.3
mint,6.3
surgery,6.3
butcher,6.294
cashier,6.294
coins,6.294
maid,6.294
courtyard,6.294
dustpan,6.294
hooves,6.294
jet,6.294
mammal,6.294
midwife,6.294
nutmeg,6.294
pool,6.294
billiards,6.294
pot,6.294
rain,6.294
rod,6.294
bread,6.294
sprout,6.294
trunk,6.294
box,6.29
lemonade,6.29
loaf,6.29
palace,6.29
cock,6.288
baker,6.286
dolls,6.286
elevator,6.286
furniture,6.286
jewel,6.286
letter,6.286
projector,6.286
saxophone,6.286
slaughterhouse,6.286
soil,6.286
starfish,6.286
steward,6.286
student,6.286
vest,6.286
zeppelin,6.286
bead,6.281
grampa,6.281
factory,6.281
armour,6.273
bride,6.273
nettle,6.273
pimple,6.273
coil,6.273
wool,6.273
farm,6.267
telescope,6.267
yolk,6.267
bar,6.265
boulder,6.265
finger,6.265
engineer,6.265
faeces,6.265
glue,6.265
instrument,6.265
juggler,6.265
branch,6.265
oil,6.265
peg,6.265
twig,6.265
utensil,6.265
hammock,6.258
storeroom,6.258
bass_guitar,6.257
crossbow,6.257
Dad,6.257
gin,6.257
grain,6.257
supermarket,6.257
tool,6.257
archer,6.25
broom,6.25
chauffeur,6.25
jumper,6.25
log,6.25
office,6.25
sole,6.25
typhoon,6.25
brother,6.242
candyfloss,6.242
clothing,6.242
fur,6.242
garbage,6.242
nun,6.242
plant,6.242
prostitute,6.242
screw,6.242
sex,6.242
thorn,6.242
vet,6.242
wishing_well,6.242
ring,6.241
weapons,6.235
banker,6.235
coke,6.235
dock,6.235
king,6.235
knot,6.235
poster,6.235
spirits,6.235
soup,6.235
surf,6.235
womb,6.235
butter,6.233
cranium,6.233
biscuit,6.229
boiler,6.229
dashboard,6.229
builder,6.229
lightbulb,6.229
pigeon,6.229
pianist,6.229
rollercoaster,6.229
stave,6.229
star,6.229
toddler,6.229
goggles,6.226
people,6.226
salad,6.226
brush,6.219
sculpture,6.219
jigsaw,6.219
jigsaw_puzzle,6.219
rail,6.219
stripper,6.219
tinsel,6.219
bison,6.214
metal,6.214
leggings,6.212
walnut,6.212
dish,6.207
cash,6.206
cue_stick,6.206
fan,6.206
globe,6.206
honeycomb,6.206
kids,6.206
lock,6.206
marquee,6.206
petal,6.206
pocket,6.206
robber,6.206
cards,6.206
wire,6.206
barnacle,6.2
basket,6.2
carnival,6.2
drawer,6.2
cushion,6.2
hog,6.2
prison,6.2
secretary,6.2
skijump,6.2
manure,6.194
police,6.194
road,6.194
dock,6.188
grain,6.188
hood,6.188
scab,6.188
soup,6.188
temple,6.188
field,6.182
fortress,6.182
librarian,6.182
morgue,6.182
novel,6.182
orange,6.182
pickle,6.182
runner,6.182
skis,6.182
sulphur,6.182
forehead,6.182
whip,6.182
cowboy,6.177
crater,6.177
dessert,6.177
fisherman,6.177
goblet,6.177
mechanic,6.177
thing,6.177
pliers,6.177
dog_pound,6.177
psychiatrist,6.177
rectangle,6.177
seahorse,6.177
land,6.175
sea_bass,6.171
tin_foil,6.171
fort,6.171
fungus,6.171
maid,6.171
wart,6.171
professor,6.171
strap,6.171
ulcer,6.171
child,6.167
organ,6.167
sink,6.167
gymnast,6.161
tail,6.161
trainer,6.161
veins,6.161
matches,6.156
missile,6.156
rod,6.156
savings_bank,6.152
baseball_bat,6.152
boxer,6.152
camp,6.152
chameleon,6.152
dung,6.152
runner,6.152
knots,6.152
sewer,6.152
blister,6.147
sugarcane,6.147
carpet,6.147
college,6.147
fabric,6.147
