word,pos,mode,category
simply,ADV,hedge,generalization
truly,ADV,hedge,generalization
fundamentally,ADV,hedge,generalization
basically,ADV,hedge,generalization
essentially,ADV,hedge,generalization
ideally,ADV,hedge,generalization
generally,ADV,hedge,generalization
similarly,ADV,hedge,generalization
frankly,ADV,hedge,illocutionary
honestly,ADV,hedge,illocutionary
truthfully,ADV,hedge,illocutionary
confidentially,ADV,hedge,illocutionary
seriously,ADV,hedge,illocutionary
personally,ADV,hedge,illocutionary
in_all_honesty,ADV,hedge,illocutionary
to_be_honest,ADV,hedge,illocutionary
arguably,ADV,hedge,illocutionary
inarguably,ADV,hedge,illocutionary
contestably,ADV,hedge,illocutionary
occasionally,ADV,hedge,frequency
frequently,ADV,hedge,frequency
often,ADV,hedge,frequency
sometimes,ADV,hedge,frequency
usually,ADV,hedge,frequency
usual,ADJ,hedge,frequency
normally,ADV,hedge,frequency
normal,ADJ,hedge,frequency
ordinary,ADJ,hedge,frequency
ordinarily,ADV,hedge,frequency
increasingly,ADV,hedge,frequency
typical,ADJ,hedge,frequency
common,ADJ,hedge,frequency
typically,ADV,hedge,frequency
commonly,ADV,hedge,frequency
to_some_extent,ADV,hedge,frequency
in_most_cases,ADV,hedge,frequency
in_most_instances,ADV,hedge,frequency
in_many_ways,ADV,hedge,frequency
precisely,ADV,hedge,approximation
partly,ADV,hedge,approximation
exactly,ADV,hedge,approximation
approximately,ADV,hedge,approximation
relatively,ADV,hedge,approximation
fairly,ADV,hedge,approximation
somewhat,ADV,hedge,approximation
roughly,ADV,hedge,approximation
broadly,ADV,hedge,approximation
partly,ADV,hedge,approximation
sort_of,ADV,hedge,approximation
more_or_less,ADV,hedge,approximation
far_from,ADV,hedge,approximation
almost,ADV,hedge,approximation
in_some_respects,ADV,hedge,approximation
in_all_respects,ADV,hedge,approximation
in_many_respects,ADV,hedge,approximation
in_any_respect,ADV,hedge,approximation
in_every_respect,ADV,hedge,approximation
in_no_respect,ADV,hedge,approximation
only,ADV,hedge,importance
even,ADV,hedge,importance
just,ADV,hedge,importance
formerly,ADV,hedge,time
currently,ADV,hedge,time
presently,ADV,hedge,time
eventually,ADV,hedge,time
already,ADV,hedge,time
perhaps,ADV,hedge,probability
plausibly,ADV,hedge,probability
evidently,ADV,hedge,probability
potentially,ADV,hedge,probability
probably,ADV,hedge,probability
possibly,ADV,hedge,probability
creditably,ADV,hedge,probability
maybe,ADV,hedge,probability
most_likely,ADV,hedge,probability
probably_not,ADV,hedge,probability
allegedly,ADV,hedge,reservation
reportedly,ADV,hedge,reservation
seemingly,ADV,hedge,reservation
supposedly,ADV,hedge,reservation
ostensibly,ADV,hedge,reservation
apparently,ADV,hedge,reservation
presumably,ADV,hedge,reservation
formally,ADV,hedge,qualification
nominally,ADV,hedge,qualification
outwardly,ADV,hedge,qualification
superficially,ADV,hedge,qualification
technically,ADV,hedge,qualification
theoretically,ADV,hedge,qualification
literally,ADV,hedge,qualification
metaphorically,ADV,hedge,qualification
officially,ADV,hedge,qualification
strictly,ADV,hedge,qualification
figuratively,ADV,hedge,qualification
in_reality,ADV,hedge,qualification
in_practice,ADV,hedge,qualification
historically,ADV,hedge,qualification
traditionally,ADV,hedge,qualification
importantly,ADV,evaluation,emphasis
primarily,ADV,evaluation,emphasis
mainly,ADV,evaluation,emphasis
mostly,ADV,evaluation,emphasis
critically,ADV,evaluation,emphasis
significantly,ADV,evaluation,emphasis
particularly,ADV,evaluation,emphasis
specifically,ADV,evaluation,emphasis
namely,ADV,evaluation,emphasis
alone,ADV,evaluation,emphasis
above_all,ADV,evaluation,emphasis
closely,ADV,evaluation,manner
carefully,ADV,evaluation,manner
seriously,ADV,evaluation,manner
thoroughly,ADV,evaluation,manner
deeply,ADV,evaluation,manner
thoughtfully,ADV,evaluation,manner
logically,ADV,evaluation,argument
rationally,ADV,evaluation,argument
consistently,ADV,evaluation,argument
properly,ADV,evaluation,appropriacy
comprehensively,ADV,evaluation,information
realistically,ADV,evaluation,risk
truly,ADV,evaluation,accuracy
rightly,ADV,evaluation,accuracy
correctly,ADV,evaluation,accuracy
appropriately,ADV,evaluation,appropriacy
sensibly,ADV,evaluation,sensibility
intelligently,ADV,evaluation,sensibility
reasonably,ADV,evaluation,sensibility
practically,ADV,evaluation,plan
falsely,ADV,evaluation,accuracy
impractically,ADV,evaluation,plan
unreasonably,ADV,evaluation,sensibility
unintelligently,ADV,evaluation,sensibility
inappropriately,ADV,evaluation,appropriacy
incorrectly,ADV,evaluation,accuracy
unrealistically,ADV,evaluation,risk
inconsistently,ADV,evaluation,argument
illogically,ADV,evaluation,argument
superficially,ADV,evaluation,information
loosely,ADV,evaluation,information
anticipation,NOUN,emotion,surprise
aversion,NOUN,emotion,fear
burden,NOUN,emotion,sadness
care,NOUN,emotion,desire
comedown,NOUN,emotion,sadness
craving,NOUN,emotion,desire
desire,NOUN,emotion,desire
doubt,NOUN,emotion,surprise
emotion,NOUN,emotion,neutral
expectation,NOUN,emotion,surprise
fear,NOUN,emotion,fear
feeling,NOUN,emotion,neutral
frenzy,NOUN,emotion,anger
grudge,NOUN,emotion,anger
inspiration,NOUN,emotion,happiness
interest,NOUN,emotion,intensity
need,NOUN,emotion,desire
obsession,NOUN,emotion,desire
pain,NOUN,emotion,sadness
peeve,NOUN,emotion,anger
pique,NOUN,emotion,anger
scare,NOUN,emotion,fear
shock,NOUN,emotion,surprise
thrill,NOUN,emotion,surprise
trouble,NOUN,emotion,sadness
upset,NOUN,emotion,sadness
want,NOUN,emotion,desire
wish,NOUN,emotion,desire
acclaim,NOUN,emotion,happiness
admiration,NOUN,emotion,happiness
adoration,NOUN,emotion,happiness
affection,NOUN,emotion,happiness
amusement,NOUN,emotion,happiness
animation,NOUN,emotion,happiness
appeal,NOUN,emotion,happiness
appreciation,NOUN,emotion,happiness
approval,NOUN,emotion,happiness
attraction,NOUN,emotion,happiness
blessedness,NOUN,emotion,happiness
bliss,NOUN,emotion,happiness
cheer,NOUN,emotion,happiness
comfort,NOUN,emotion,happiness
confidence,NOUN,emotion,happiness
contentment,NOUN,emotion,happiness
delight,NOUN,emotion,happiness
devotion,NOUN,emotion,happiness
ecstasy,NOUN,emotion,happiness
elation,NOUN,emotion,happiness
enjoyment,NOUN,emotion,happiness
enthusiasm,NOUN,emotion,happiness
esteem,NOUN,emotion,happiness
euphoria,NOUN,emotion,happiness
exaltation,NOUN,emotion,happiness
exhilaration,NOUN,emotion,happiness
exuberance,NOUN,emotion,happiness
exultation,NOUN,emotion,happiness
favor,NOUN,emotion,happiness
fondness,NOUN,emotion,happiness
giddiness,NOUN,emotion,happiness
gladness,NOUN,emotion,happiness
glee,NOUN,emotion,happiness
gleefulness,NOUN,emotion,happiness
glory,NOUN,emotion,happiness
gratitude,NOUN,emotion,happiness
happiness,NOUN,emotion,happiness
jolliness,NOUN,emotion,happiness
joviality,NOUN,emotion,happiness
joy,NOUN,emotion,happiness
love,NOUN,emotion,happiness
merriness,NOUN,emotion,happiness
mirth,NOUN,emotion,happiness
pleasure,NOUN,emotion,happiness
playfulness,NOUN,emotion,happiness
rapture,NOUN,emotion,happiness
helpfulness,NOUN,emotion,happiness
honor,NOUN,emotion,happiness
hope,NOUN,emotion,happiness
hopefulness,NOUN,emotion,happiness
sunniness,NOUN,emotion,happiness
thankfulness,NOUN,emotion,happiness
tranquility,NOUN,emotion,happiness
trust,NOUN,emotion,happiness
veneration,NOUN,emotion,happiness
satisfaction,NOUN,emotion,happiness
serenity,NOUN,emotion,happiness
respect,NOUN,emotion,happiness
reverence,NOUN,emotion,happiness
toleration,NOUN,emotion,happiness
relaxation,NOUN,emotion,happiness
willingness,NOUN,emotion,happiness
worship,NOUN,emotion,happiness
anguish,NOUN,emotion,sadness
agony,NOUN,emotion,sadness
cheerlessness,NOUN,emotion,sadness
consolation,NOUN,emotion,sadness
contrition,NOUN,emotion,sadness
dejection,NOUN,emotion,sadness
demoralization,NOUN,emotion,sadness
depression,NOUN,emotion,sadness
desolation,NOUN,emotion,sadness
despondency,NOUN,emotion,sadness
devastation,NOUN,emotion,sadness
discomfort,NOUN,emotion,sadness
discontent,NOUN,emotion,sadness
discouragement,NOUN,emotion,sadness
exhaustion,NOUN,emotion,sadness
forgiveness,NOUN,emotion,sadness
gloom,NOUN,emotion,sadness
gloominess,NOUN,emotion,sadness
glumness,NOUN,emotion,sadness
graveness,NOUN,emotion,sadness
grief,NOUN,emotion,sadness
guilt,NOUN,emotion,sadness
helplessness,NOUN,emotion,sadness
homesickness,NOUN,emotion,sadness
hopelessness,NOUN,emotion,sadness
hurt,NOUN,emotion,sadness
melancholia,NOUN,emotion,sadness
misery,NOUN,emotion,sadness
mortification,NOUN,emotion,sadness
remorse,NOUN,emotion,sadness
repentance,NOUN,emotion,sadness
penitance,NOUN,emotion,sadness
pity,NOUN,emotion,sadness
regret,NOUN,emotion,sadness
rue,NOUN,emotion,sadness
sadness,NOUN,emotion,sadness
sorrow,NOUN,emotion,sadness
loneliness,NOUN,emotion,sadness
numbness,NOUN,emotion,sadness
pain,NOUN,emotion,sadness
pensiveness,NOUN,emotion,sadness
somberness,NOUN,emotion,sadness
teariness,NOUN,emotion,sadness
weariness,NOUN,emotion,sadness
weepiness,NOUN,emotion,sadness
wistfulness,NOUN,emotion,sadness
wretchedness,NOUN,emotion,sadness
unhappiness,NOUN,emotion,sadness
instability,NOUN,emotion,sadness
restlessness,NOUN,emotion,sadness
self_consciousness,NOUN,emotion,sadness
sheepiness,NOUN,emotion,sadness
alarm,NOUN,emotion,fear
anxiety,NOUN,emotion,fear
apprehension,NOUN,emotion,fear
despair,NOUN,emotion,fear
desperation,NOUN,emotion,fear
dismay,NOUN,emotion,fear
distress,NOUN,emotion,fear
distrust,NOUN,emotion,fear
dread,NOUN,emotion,fear
encouragement,NOUN,emotion,fear
fear,NOUN,emotion,fear
fright,NOUN,emotion,fear
hesitance,NOUN,emotion,fear
hesitancy,NOUN,emotion,fear
hesitation,NOUN,emotion,fear
jumpiness,NOUN,emotion,fear
nervousness,NOUN,emotion,fear
panic,NOUN,emotion,fear
petrifaction,NOUN,emotion,fear
reassurance,NOUN,emotion,fear
shakiness,NOUN,emotion,fear
terror,NOUN,emotion,fear
uneasiness,NOUN,emotion,fear
concern,NOUN,emotion,fear
worry,NOUN,emotion,fear
stress,NOUN,emotion,fear
relief,NOUN,emotion,fear
reluctance,NOUN,emotion,fear
recalcitrance,NOUN,emotion,fear
aggression,NOUN,emotion,anger
aggravation,NOUN,emotion,anger
agitation,NOUN,emotion,anger
anger,NOUN,emotion,anger
animosity,NOUN,emotion,anger
annoyance,NOUN,emotion,anger
antagonism,NOUN,emotion,anger
belligerence,NOUN,emotion,anger
blame,NOUN,emotion,anger
bluster,NOUN,emotion,anger
bother,NOUN,emotion,anger
chagrin,NOUN,emotion,anger
detestation,NOUN,emotion,anger
disgruntlement,NOUN,emotion,anger
dislike,NOUN,emotion,anger
displeasure,NOUN,emotion,anger
dissatisfaction,NOUN,emotion,anger
envy,NOUN,emotion,anger
exasperation,NOUN,emotion,anger
ferocity,NOUN,emotion,anger
fierceness,NOUN,emotion,anger
frustration,NOUN,emotion,anger
fury,NOUN,emotion,anger
gall,NOUN,emotion,anger
hate,NOUN,emotion,anger
hatefulness,NOUN,emotion,anger
hatred,NOUN,emotion,anger
horror,NOUN,emotion,anger
hostility,NOUN,emotion,anger
huffiness,NOUN,emotion,anger
indignation,NOUN,emotion,anger
intimidation,NOUN,emotion,anger
irateness,NOUN,emotion,anger
irritation,NOUN,emotion,anger
outrage,NOUN,emotion,anger
petulance,NOUN,emotion,anger
prickliness,NOUN,emotion,anger
rage,NOUN,emotion,anger
